id,issueId,commentId,commentAuthor,commentTime,commentHTML,commentText,issue
antidote/src/java/org/apache/tools/ant/gui/customizer/FilePropertyEditor.java,v
retrieving <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=1"">revision 1</a>.1
diff -r1.1 FilePropertyEditor.java
70c70
&lt;  * @author Simeon Fitch 
---
<span class=""quote"">&gt;  * @author Simeon Fitch, Craig Campbell</span>
93c93,94
&lt;         JButton b = new JButton(&quot;Browse...&quot;);
---
<span class=""quote"">&gt;         JButton b = new JButton(&quot;...&quot;);
&gt;         b.setBorder(BorderFactory.createEtchedBorder());</span>
213a215,222
<span class=""quote"">&gt; 
&gt; /*
&gt; Change log:
&gt; 1/28/2003 (CC) - changed the text on the button from &quot;Browse&quot; to an elipse </span>
(...) and changed
<span class=""quote"">&gt;         the border around the button to etched to create make it less </span>
intrusive. As well as
<span class=""quote"">&gt;         made it so there does not have to any translation for this component </span>
to work outside
<span class=""quote"">&gt;         english speaking countries.
&gt; */</span>
Index: ./src/java/org/apache/tools/ant/gui/modules/edit/AttributePropertyEditor
.java
===================================================================
RCS file: /home/cvspublic/jakarta-ant-
antidote/src/java/org/apache/tools/ant/gui/modules/edit/AttributePropertyEditor
.java,v
retrieving <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=1"">revision 1</a>.1
diff -r1.1 AttributePropertyEditor.java
61,63d60
&lt; import java.awt.event.ActionEvent;
&lt; import java.awt.event.ActionListener;
&lt; 
76a74,76
<span class=""quote"">&gt; import java.beans.PropertyChangeEvent;
&gt; import java.beans.PropertyChangeListener;
&gt; </span>
77a78
<span class=""quote"">&gt; import org.apache.tools.ant.gui.customizer.DynamicTableCellEditor;</span>
84c85
&lt;  * @author Christoph Wilhelms&lt;a href=&quot;mailto:christoph.wilhelms@t-
online.de&quot;&gt;Christoph Wilhelms&lt;/a&gt;
---
<span class=""quote"">&gt;  * @author Christoph Wilhelms&lt;a href=&quot;mailto:christoph.wilhelms@t-</span>
online.de&quot;&gt;Christoph Wilhelms&lt;/a&gt;, Craig Campbell
176,186c177,197
&lt;         // When the combo box is updated, update the table.
&lt;         /*
&lt;         _combo.addActionListener(new ActionListener() {
&lt;             public void actionPerformed(ActionEvent e) {
&lt;                 JComboBox cb = (JComboBox)e.getSource();
&lt;                 String newSelection = (String)cb.getSelectedItem();
&lt; 
&lt;                 // Should we update the table?
&lt;                 if (newSelection != null &amp;&amp; _table.getEditingRow() &gt; 0) {
&lt;                     _table.getModel().setValueAt(newSelection,
&lt;                         _table.getEditingRow(), _table.getEditingColumn() );
---
<span class=""quote"">&gt;         // Set the second column to use a DynamicEditor
&gt;         TableColumn secondCol = _table.getColumnModel().getColumn(1);
&gt;         final DynamicTableCellEditor cellEditor = new DynamicTableCellEditor</span>
();
<span class=""quote"">&gt;         secondCol.setCellEditor(cellEditor);
&gt; 
&gt;         // Listen for property changes to update the cell editor with
&gt;         // registered types for editing.
&gt;         _table.addPropertyChangeListener(new PropertyChangeListener() {
&gt;             public void propertyChange(PropertyChangeEvent e) {
&gt;                 String selection = (String)_table.getModel().getValueAt(
&gt;                                 _table.getSelectedRow(), 0);
&gt; 
&gt;                 if(selection != null &amp;&amp; !selection.equals(&quot;&quot;)) {
&gt; 
&gt;                     Class type = null;
&gt;                     try {
&gt;                         type = _attributes.getType(selection);
&gt;                         cellEditor.register(selection, type);
&gt;                     } catch (ClassNotFoundException exp) {
&gt;                         exp.printStackTrace();
&gt;                     }</span>
190d200
&lt;          */
319c329
&lt;             if(row &lt; _attributes.size()) {
---
<span class=""quote"">&gt;             if(((row &lt; _attributes.size())  &amp;&amp; (row &lt; _keys.size())) &amp;&amp; row 
&gt; -1) {</span>
394a405,415
<span class=""quote"">&gt; 
&gt; /*
&gt; Change log:
&gt; 
&gt; 1/28/2003 (CC) - Added to the second column of the table a dynmaic table </span>
cell editor.  This
<span class=""quote"">&gt;         editor will examine the type of attribute the user selects and find </span>
the appropriate
<span class=""quote"">&gt;         editor (StringPropertyEditor, FilePropertyEditor, </span>
BooleanPropertyEditor...).  Added
<span class=""quote"">&gt;         as well a property listener to catch the changes made in the table </span>
so the attributes
<span class=""quote"">&gt;         will have editors if they exist.
&gt; 
&gt; */</span>
Index: ./src/java/org/apache/tools/ant/gui/xml/DOMAttributes.java
===================================================================
RCS file: /home/cvspublic/jakarta-ant-
antidote/src/java/org/apache/tools/ant/gui/xml/DOMAttributes.java,v
retrieving <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=1"">revision 1</a>.1
diff -r1.1 DOMAttributes.java
57,58d56
&lt; import java.io.IOException;
&lt; 
60d57
&lt; import java.util.Enumeration;
68c65
&lt;  * @author Christoph Wilhelms&lt;a href=&quot;mailto:christoph.wilhelms@t-
online.de&quot;&gt;<a href=""mailto:christoph.wilhelms@t-online.de"">christoph.wilhelms@t-online.de</a>&lt;/a&gt;
---
<span class=""quote"">&gt;  * @author Christoph Wilhelms&lt;a href=&quot;mailto:christoph.wilhelms@t-</span>
online.de&quot;&gt;<a href=""mailto:christoph.wilhelms@t-online.de"">christoph.wilhelms@t-online.de</a>&lt;/a&gt;, Craig Campbell
71a69
<span class=""quote"">&gt;     private Map _mapElements = null;</span>
84c82
&lt;      * @param element provides information about possible attributes.
---
<span class=""quote"">&gt;      * @param elements provides information about possible attributes.</span>
95a94,95
<span class=""quote"">&gt;             
&gt;             _mapElements = elements; // save for searching for type.</span>
114a115,135
<span class=""quote"">&gt;     
&gt;     /**
&gt;      * Allow the searching of type for individual attributes
&gt;      *
&gt;      * @param name attribute name
&gt;      * @return Class - associated type.
&gt;      */
&gt;     public Class getType(String name) throws ClassNotFoundException   {
&gt;         if(name == null)
&gt;             return null;
&gt; 
&gt;         String typeName = (String)_mapElements.get(name);
&gt;         if(typeName.equals(&quot;boolean&quot;))
&gt;             return boolean.class;
&gt;         else if(typeName.equals(&quot;int&quot;))
&gt;             return double.class;
&gt;         else if(typeName.equals(&quot;double&quot;))
&gt;             return int.class;
&gt;         else
&gt;             return Class.forName(typeName);
&gt;     }</span>
115a137,142
<span class=""quote"">&gt; 
&gt; /*
&gt; Change log:
&gt; 1/28/2003 (CC) - added getType method to object to return the type of class </span>
the
<span class=""quote"">&gt;         attribute is associated with.
&gt; */</span>","Index: ./src/java/org/apache/tools/ant/gui/acs/ACSFactory.java
===================================================================
RCS file: /home/cvspublic/jakarta-ant-
antidote/src/java/org/apache/tools/ant/gui/acs/ACSFactory.java,v
retrieving revision 1.4
diff -r1.4 ACSFactory.java
85c85
<  * @author Simeon Fitch, Christoph Wilhelms<a 
href=""mailto:christoph.wilhelms@t-online.de"">christoph.wilhelms@t-online.de</a>
---
>  * @author Simeon Fitch, Christoph Wilhelms<a 
href=""mailto:christoph.wilhelms@t-online.de"">christoph.wilhelms@t-
online.de</a>, Craig Campbell
187,188c187,188
< //                    info._attributes.put(name, type);  // for debug 
purpose only
<                     info._attributes.put(name, """");
---
>                     info._attributes.put(name, type);  // type is now needed 
for associating attribute name with a custom editor
> //                    info._attributes.put(name, """");
402a403,409
> 
> /*
> Change log:
> 
> 1/28/2003 (CC) -  added the type value to the attributes so that we can 
later use that type
>         to create a customized editor.
> */
Index: ./src/java/org/apache/tools/ant/gui/customizer/FilePropertyEditor.java
===================================================================
RCS file: /home/cvspublic/jakarta-ant-
antidote/src/java/org/apache/tools/ant/gui/customizer/FilePropertyEditor.java,v
retrieving revision 1.1
diff -r1.1 FilePropertyEditor.java
70c70
<  * @author Simeon Fitch 
---
>  * @author Simeon Fitch, Craig Campbell
93c93,94
<         JButton b = new JButton(""Browse..."");
---
>         JButton b = new JButton(""..."");
>         b.setBorder(BorderFactory.createEtchedBorder());
213a215,222
> 
> /*
> Change log:
> 1/28/2003 (CC) - changed the text on the button from ""Browse"" to an elipse 
(...) and changed
>         the border around the button to etched to create make it less 
intrusive. As well as
>         made it so there does not have to any translation for this component 
to work outside
>         english speaking countries.
> */
Index: ./src/java/org/apache/tools/ant/gui/modules/edit/AttributePropertyEditor
.java
===================================================================
RCS file: /home/cvspublic/jakarta-ant-
antidote/src/java/org/apache/tools/ant/gui/modules/edit/AttributePropertyEditor
.java,v
retrieving revision 1.1
diff -r1.1 AttributePropertyEditor.java
61,63d60
< import java.awt.event.ActionEvent;
< import java.awt.event.ActionListener;
< 
76a74,76
> import java.beans.PropertyChangeEvent;
> import java.beans.PropertyChangeListener;
> 
77a78
> import org.apache.tools.ant.gui.customizer.DynamicTableCellEditor;
84c85
<  * @author Christoph Wilhelms<a href=""mailto:christoph.wilhelms@t-
online.de"">Christoph Wilhelms</a>
---
>  * @author Christoph Wilhelms<a href=""mailto:christoph.wilhelms@t-
online.de"">Christoph Wilhelms</a>, Craig Campbell
176,186c177,197
<         // When the combo box is updated, update the table.
<         /*
<         _combo.addActionListener(new ActionListener() {
<             public void actionPerformed(ActionEvent e) {
<                 JComboBox cb = (JComboBox)e.getSource();
<                 String newSelection = (String)cb.getSelectedItem();
< 
<                 // Should we update the table?
<                 if (newSelection != null && _table.getEditingRow() > 0) {
<                     _table.getModel().setValueAt(newSelection,
<                         _table.getEditingRow(), _table.getEditingColumn() );
---
>         // Set the second column to use a DynamicEditor
>         TableColumn secondCol = _table.getColumnModel().getColumn(1);
>         final DynamicTableCellEditor cellEditor = new DynamicTableCellEditor
();
>         secondCol.setCellEditor(cellEditor);
> 
>         // Listen for property changes to update the cell editor with
>         // registered types for editing.
>         _table.addPropertyChangeListener(new PropertyChangeListener() {
>             public void propertyChange(PropertyChangeEvent e) {
>                 String selection = (String)_table.getModel().getValueAt(
>                                 _table.getSelectedRow(), 0);
> 
>                 if(selection != null && !selection.equals("""")) {
> 
>                     Class type = null;
>                     try {
>                         type = _attributes.getType(selection);
>                         cellEditor.register(selection, type);
>                     } catch (ClassNotFoundException exp) {
>                         exp.printStackTrace();
>                     }
190d200
<          */
319c329
<             if(row < _attributes.size()) {
---
>             if(((row < _attributes.size())  && (row < _keys.size())) && row 
> -1) {
394a405,415
> 
> /*
> Change log:
> 
> 1/28/2003 (CC) - Added to the second column of the table a dynmaic table 
cell editor.  This
>         editor will examine the type of attribute the user selects and find 
the appropriate
>         editor (StringPropertyEditor, FilePropertyEditor, 
BooleanPropertyEditor...).  Added
>         as well a property listener to catch the changes made in the table 
so the attributes
>         will have editors if they exist.
> 
> */
Index: ./src/java/org/apache/tools/ant/gui/xml/DOMAttributes.java
===================================================================
RCS file: /home/cvspublic/jakarta-ant-
antidote/src/java/org/apache/tools/ant/gui/xml/DOMAttributes.java,v
retrieving revision 1.1
diff -r1.1 DOMAttributes.java
57,58d56
< import java.io.IOException;
< 
60d57
< import java.util.Enumeration;
68c65
<  * @author Christoph Wilhelms<a href=""mailto:christoph.wilhelms@t-
online.de"">christoph.wilhelms@t-online.de</a>
---
>  * @author Christoph Wilhelms<a href=""mailto:christoph.wilhelms@t-
online.de"">christoph.wilhelms@t-online.de</a>, Craig Campbell
71a69
>     private Map _mapElements = null;
84c82
<      * @param element provides information about possible attributes.
---
>      * @param elements provides information about possible attributes.
95a94,95
>             
>             _mapElements = elements; // save for searching for type.
114a115,135
>     
>     /**
>      * Allow the searching of type for individual attributes
>      *
>      * @param name attribute name
>      * @return Class - associated type.
>      */
>     public Class getType(String name) throws ClassNotFoundException   {
>         if(name == null)
>             return null;
> 
>         String typeName = (String)_mapElements.get(name);
>         if(typeName.equals(""boolean""))
>             return boolean.class;
>         else if(typeName.equals(""int""))
>             return double.class;
>         else if(typeName.equals(""double""))
>             return int.class;
>         else
>             return Class.forName(typeName);
>     }
115a137,142
> 
> /*
> Change log:
> 1/28/2003 (CC) - added getType method to object to return the type of class 
the
>         attribute is associated with.
> */",40
99,16510,"Comment 1","Craig Campbell","2003-01-28 21:36:39","Created <span class=""""><a href=""attachment.cgi?id=4602"" name=""attach_4602"" title=""zipped source for editor patches"">attachment 4602</a> <a href=""attachment.cgi?id=4602&amp;action=edit"" title=""zipped source for editor patches"">[details]</a></span>
zipped source for editor patches","Created attachment 4602 [details]
zipped source for editor patches",40
100,16510,"Comment 2","Christoph Wilhelms","2003-01-28 23:06:50","Applied Craigs Fix with some manual fixes...","Applied Craigs Fix with some manual fixes...",40
101,17437,Description,"Ralf Mieke","2003-02-26 16:55:15","Building antidote 0.2alpha (Build date 26.02.2003) with Ant 1.5, and starting 
it with antidote I encountered the error
Exception in thread &quot;main&quot; java.lang.NoClassDefFoundError: CICS

It seems some part of the classpath could not be read correctly. Observing 
antidote.bat I added quotes around %LOCALCLASSPATH% in LINE 23, so it becomes
%JAVACMD% -classpath ..\lib\antidote.jar;..\lib\crimson.jar;&quot;%LOCALCLASSPATH%&quot; -
Dant.home=&quot;%ANT_HOME%&quot; org.apache.tools.ant.gui.Main %ANT_CMD_LINE_ARGS%

This is of course only a problem if some whitespaces in classpath directory 
exists.","Building antidote 0.2alpha (Build date 26.02.2003) with Ant 1.5, and starting 
it with antidote I encountered the error
Exception in thread ""main"" java.lang.NoClassDefFoundError: CICS

It seems some part of the classpath could not be read correctly. Observing 
antidote.bat I added quotes around %LOCALCLASSPATH% in LINE 23, so it becomes
%JAVACMD% -classpath ..\lib\antidote.jar;..\lib\crimson.jar;""%LOCALCLASSPATH%"" -
Dant.home=""%ANT_HOME%"" org.apache.tools.ant.gui.Main %ANT_CMD_LINE_ARGS%

This is of course only a problem if some whitespaces in classpath directory 
exists.",41
102,17437,"Comment 1","Christoph Wilhelms","2003-03-31 16:38:55","I'd like to consolidate the Antidote batches anyways to math the current ant
batches. I think that'll fix this issue.","I'd like to consolidate the Antidote batches anyways to math the current ant
batches. I think that'll fix this issue.",41
103,17437,"Comment 2","dev1","2005-04-05 12:27:15","The Antidote project is no longer supported.","The Antidote project is no longer supported.",41
104,21861,Description,"Norbert Beckers","2003-07-24 19:32:04","java version 1.4.2
antidote version: 0.20 alpha
used snapshot of antidote: ant-antidote_20030723102209.tar.gz
example:
&lt;project name=&quot;MyApp&quot; =&quot;MY APP&quot; =&quot;build&quot; =&quot;.&quot;/&gt;
                     ^^        ^^       ^^
This was the result of the following steps:
1. Choose menu File-&gt;New Project
2. entering the data about the new project(e.g: name, description and basedir) 
by using the form.
3. saving thew project as build.xml.","java version 1.4.2
antidote version: 0.20 alpha
used snapshot of antidote: ant-antidote_20030723102209.tar.gz
example:
<project name=""MyApp"" =""MY APP"" =""build"" ="".""/>
                     ^^        ^^       ^^
This was the result of the following steps:
1. Choose menu File->New Project
2. entering the data about the new project(e.g: name, description and basedir) 
by using the form.
3. saving thew project as build.xml.",42
105,21861,"Comment 1","dev10","2003-07-24 19:58:08","I can reproduce your bug.","I can reproduce your bug.",42
106,21861,"Comment 2","dev10","2003-07-24 22:33:49","I have fixed this problem in CVS by changing NamedDOMNodeMap.java
I am not sure whether my change was done at the best place, but it works.","I have fixed this problem in CVS by changing NamedDOMNodeMap.java
I am not sure whether my change was done at the best place, but it works.",42
107,42159,Description,Manjunath,"2007-04-18 06:49:49",descripton,descripton,43
108,42159,"Comment 1",Manjunath,"2007-04-18 07:35:51",asdfasdfasd,asdfasdfasd,43
109,21888,Description,"Norbert Beckers","2003-07-25 17:16:50","java_version: 1.4.2
ant-antidote_version: 0.2Aplha
snapshot_antidote: ant-antidote_20030725102109.tar.gz

when using Ant-Antidote to create targets or tasks tags the tagname is not 
written to the file, attribute names are ok.
There is one exception to this symptomes of this bug: the project tag. This is 
written to the file as it should be.

I hope someone can squash this bug!","java_version: 1.4.2
ant-antidote_version: 0.2Aplha
snapshot_antidote: ant-antidote_20030725102109.tar.gz

when using Ant-Antidote to create targets or tasks tags the tagname is not 
written to the file, attribute names are ok.
There is one exception to this symptomes of this bug: the project tag. This is 
written to the file as it should be.

I hope someone can squash this bug!",44
110,21888,"Comment 1","dev10","2003-07-26 16:20:43","I have fixed this bug in CVS (file 
src/java/org/apache/tools/ant/gui/xml/NamedDOMNodeMap.java)
I hope I did it right, this was my first change in antidote.","I have fixed this bug in CVS (file 
src/java/org/apache/tools/ant/gui/xml/NamedDOMNodeMap.java)
I hope I did it right, this was my first change in antidote.",44
111,21888,"Comment 2","Norbert Beckers","2003-07-27 12:40:47","this what the bug still produces e.g.:
&lt; name=&quot;build&quot;/&gt;
 ^
here should been the tagname: target","this what the bug still produces e.g.:
< name=""build""/>
 ^
here should been the tagname: target",44
112,21888,"Comment 3","dev10","2003-07-27 16:34:59","My apologies, I confused this report with <a href=""http://nagoya.apache"">http://nagoya.apache</a>.
org/bugzilla/show_bug.cgi?id=21861 (Missing atributenames in &lt;project&gt; tag of 
build file )
Antoine","My apologies, I confused this report with http://nagoya.apache.
org/bugzilla/show_bug.cgi?id=21861 (Missing atributenames in <project> tag of 
build file )
Antoine",44
113,21888,"Comment 4","dev10","2003-07-27 17:18:30","fixed in CVS, will be available in the next nightly build.","fixed in CVS, will be available in the next nightly build.",44
114,10467,Description,"amr refaat","2002-07-04 09:56:46","bug bub","bug bub",45
115,13679,Description,"Bernd Koester","2002-10-16 09:19:34","I am using ant and have installed the version 2.2.0 of xerces
build.xml:
...
&lt;!DOCTYPE project PUBLIC &quot;-//ANT//DTD project//EN&quot; &quot;project.dtd&quot; [
  &lt;!ENTITY includePaths SYSTEM &quot;paths.xml&quot;&gt;
]&gt;
...

Both paths.xml and build.xml are in the same directory. If this directory
contains a blank, xerces fails. With no white space everything works fine.","I am using ant and have installed the version 2.2.0 of xerces
build.xml:
...
<!DOCTYPE project PUBLIC ""-//ANT//DTD project//EN"" ""project.dtd"" [
  <!ENTITY includePaths SYSTEM ""paths.xml"">
]>
...

Both paths.xml and build.xml are in the same directory. If this directory
contains a blank, xerces fails. With no white space everything works fine.",46
116,13679,"Comment 1",sandygao,"2002-10-17 19:11:35","It's more an Ant's bug than Xerces'. Transferring it to Ant.

When Ant calls the parser to parse build.xml, it stores a FileInputStream in 
the InputSource. It also sets a system ID for absolutizing relative URI's 
appearing in build.xml. But in the parse() method of the class 
org.apache.tools.ant.helper.ProjectHelperImpl, the file path is not fully 
converted to a URI. The result is, if the folder has a space ' ' in it, an 
invalid URI is passed to the parser, and the parser can't use it to abosolutize 
the references to project.dtd or paths.xml.

Xerces recently fixed a similar bug in the JAXP code. You can refer to the 
class javax.xml.parsers.ConvertToURI for further detail.

An alternative is to look at the getUserDir() method of class 
org.apache.xerces.xni.parser.XMLInputSource.XMLEntityManager.","It's more an Ant's bug than Xerces'. Transferring it to Ant.

When Ant calls the parser to parse build.xml, it stores a FileInputStream in 
the InputSource. It also sets a system ID for absolutizing relative URI's 
appearing in build.xml. But in the parse() method of the class 
org.apache.tools.ant.helper.ProjectHelperImpl, the file path is not fully 
converted to a URI. The result is, if the folder has a space ' ' in it, an 
invalid URI is passed to the parser, and the parser can't use it to abosolutize 
the references to project.dtd or paths.xml.

Xerces recently fixed a similar bug in the JAXP code. You can refer to the 
class javax.xml.parsers.ConvertToURI for further detail.

An alternative is to look at the getUserDir() method of class 
org.apache.xerces.xni.parser.XMLInputSource.XMLEntityManager.",46
117,13679,"Comment 2",sandygao,"2002-10-17 23:55:00","Sorry, the last class name should be
&quot;org.apache.xerces.impl.XMLEntityManager&quot;.","Sorry, the last class name should be
""org.apache.xerces.impl.XMLEntityManager"".",46
118,13679,"Comment 3",sandygao,"2002-10-18 00:00:03","And reassign it to ant-dev.","And reassign it to ant-dev.",46
119,13679,"Comment 4","dev1","2002-11-15 13:40:10","Where do I find ConvertToURI?  Didn't see it in xml-commons.","Where do I find ConvertToURI?  Didn't see it in xml-commons.",46
120,13679,"Comment 5",sandygao,"2002-11-15 16:00:57","Hi. The JAXP code had the same problem before (the file path from File objects 
were not converted to valid URI's). Xerces fixed this problem in its own copy 
of the JAXP code. You can look at the following file for how filepath-to-uri 
works. (We've moved from ConvertToURI to FilePathToURI, which uses a different 
algorithm for escaping illegal URI characters, and can also handle non-ascii 
characters correctly.) We are working on merging the fix to the JAXP code in 
xml-commons. Cheers.

<a href=""http://cvs.apache.org/viewcvs.cgi/xml"">http://cvs.apache.org/viewcvs.cgi/xml</a>-
xerces/java/src/javax/xml/parsers/FilePathToURI.java?rev=1.2&amp;content-
type=text/vnd.viewcvs-markup","Hi. The JAXP code had the same problem before (the file path from File objects 
were not converted to valid URI's). Xerces fixed this problem in its own copy 
of the JAXP code. You can look at the following file for how filepath-to-uri 
works. (We've moved from ConvertToURI to FilePathToURI, which uses a different 
algorithm for escaping illegal URI characters, and can also handle non-ascii 
characters correctly.) We are working on merging the fix to the JAXP code in 
xml-commons. Cheers.

http://cvs.apache.org/viewcvs.cgi/xml-
xerces/java/src/javax/xml/parsers/FilePathToURI.java?rev=1.2&content-
type=text/vnd.viewcvs-markup",46
121,13679,"Comment 6","dev1","2002-11-18 09:07:37","I haven't been aware that the Xerces team was using a different JAXP version that
xml-commons, thanks.  I'll look into your code.

Would File.toURI.toURL.toExternalForm work for JDK 1.4 (trading reflection costs
for converting it ourselves might be worth it when on 1.4).","I haven't been aware that the Xerces team was using a different JAXP version that
xml-commons, thanks.  I'll look into your code.

Would File.toURI.toURL.toExternalForm work for JDK 1.4 (trading reflection costs
for converting it ourselves might be worth it when on 1.4).",46
122,13679,"Comment 7","dev1","2002-11-18 15:35:23","CVS HEAD should now deal with spaces in the path.  I have simplified the Xerces
code by not dealing with non-ASCII for now, but this may change.

Leaving it open to remind myself to look into it again for a potential 1.5.2
Ant release.","CVS HEAD should now deal with spaces in the path.  I have simplified the Xerces
code by not dealing with non-ASCII for now, but this may change.

Leaving it open to remind myself to look into it again for a potential 1.5.2
Ant release.",46
123,13679,"Comment 8","dev11","2003-03-11 08:15:16","*** <a class=""bz_bug_link 
          bz_status_RESOLVED  bz_closed"" title=""RESOLVED DUPLICATE - Referring to external XML entity in build.xml laying in path with spaces results in error."" href=""show_bug.cgi?id=17163"">Bug 17163</a> has been marked as a duplicate of this bug. ***","*** Bug 17163 has been marked as a duplicate of this bug. ***",46
124,13679,"Comment 9","dev1","2003-03-28 15:09:49","Won't fix in the 1.5 branch, it is fixed in 1.6, so there is no reason to keep
it open any longer.","Won't fix in the 1.5 branch, it is fixed in 1.6, so there is no reason to keep
it open any longer.",46
125,56674,Description,Devang,"2014-06-26 11:00:46","TestNG , Ant ,Selenium -- Generating failure Report


I am using TestNG with Selenium to generate test report

But problem is when I execute script using Ant if execution stop in between (for example: in if block or can't find any element) I can't get report of script which are executed.

How can I get test report even if execution stop in between in Ant?

Is there any way to do that?","TestNG , Ant ,Selenium -- Generating failure Report


I am using TestNG with Selenium to generate test report

But problem is when I execute script using Ant if execution stop in between (for example: in if block or can't find any element) I can't get report of script which are executed.

How can I get test report even if execution stop in between in Ant?

Is there any way to do that?",47
126,56674,"Comment 1","Jan Mat","2014-06-26 11:37:30","This question should be asked on the user list.","This question should be asked on the user list.",47
127,56470,Description,"Chris Holman","2014-04-29 12:19:35","Created <span class=""""><a href=""attachment.cgi?id=31569"" name=""attach_31569"" title=""Patch file for LogCapturer.java"">attachment 31569</a> <a href=""attachment.cgi?id=31569&amp;action=edit"" title=""Patch file for LogCapturer.java"">[details]</a></span>
Patch file for LogCapturer.java

The logcontent task outputs the log on one single line.

Using the following in the AntUnit test:

&lt;project&gt; 
...
	&lt;target name=&quot;tearDown&quot;&gt;
		&lt;echo&gt;This line has no EOL character appended...&lt;/echo&gt;
		&lt;echo&gt;So this is on the same line in the log file&lt;/echo&gt;
		&lt;!-- Write to logfile --&gt;
		&lt;concat destfile=&quot;${logfile}&quot; fixlastline=&quot;yes&quot;&gt;
			&lt;au:logcontent/&gt;
		&lt;/concat&gt;		
	&lt;/target&gt;
&lt;/project&gt;

This can be easily fixed in: org.apache.ant.antunit.LogCapturer

There is a SVN patch attached that adds a LINE_SEPARATOR to the end of each log entry in the LogCapturer.messageLogged method.","Created attachment 31569 [details]
Patch file for LogCapturer.java

The logcontent task outputs the log on one single line.

Using the following in the AntUnit test:

<project> 
...
	<target name=""tearDown"">
		<echo>This line has no EOL character appended...</echo>
		<echo>So this is on the same line in the log file</echo>
		<!-- Write to logfile -->
		<concat destfile=""${logfile}"" fixlastline=""yes"">
			<au:logcontent/>
		</concat>		
	</target>
</project>

This can be easily fixed in: org.apache.ant.antunit.LogCapturer

There is a SVN patch attached that adds a LINE_SEPARATOR to the end of each log entry in the LogCapturer.messageLogged method.",48
128,56470,"Comment 1","dev1","2014-05-02 18:54:35","changes similar to your patch have been committed as svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=1591972"">revision 1591972</a>

I'd like to wait for the Gump run to determine whether an option to insert line breaks is needed.","changes similar to your patch have been committed as svn revision 1591972

I'd like to wait for the Gump run to determine whether an option to insert line breaks is needed.",48
129,56470,"Comment 2","dev1","2014-05-04 06:57:11","One test inside Ant's own testsuite fails, this is because it tests the order of two adjacent log messages - something you cannot do with separate assertLogContains assertions. [1]

I'd add an attribute to assertLogContains and the logcontent resource - mergeLines with default true? - and modify LogCapturer to provide logs with and without merged lines.

[1] testRedirector14 in src/tests/antunit/taskdefs/exec/apply-test.xml","One test inside Ant's own testsuite fails, this is because it tests the order of two adjacent log messages - something you cannot do with separate assertLogContains assertions. [1]

I'd add an attribute to assertLogContains and the logcontent resource - mergeLines with default true? - and modify LogCapturer to provide logs with and without merged lines.

[1] testRedirector14 in src/tests/antunit/taskdefs/exec/apply-test.xml",48
130,56470,"Comment 3","dev1","2014-05-07 06:07:36","added mergeLines in several places and retained backwards compatibility.","added mergeLines in several places and retained backwards compatibility.",48
131,43582,Description,"David Jackman","2007-10-09 16:10:41","It is often difficult to see what's going on when running a test because the
output from the test isn't visible anywhere.  This enhancement is to have
AntUnit write the log messages from the test to the log of the AntUnit task. 
Since one does not normally want this output, I propose that all messages are
written as verbose-level messages, except for debug which are written as
debug-level.","It is often difficult to see what's going on when running a test because the
output from the test isn't visible anywhere.  This enhancement is to have
AntUnit write the log messages from the test to the log of the AntUnit task. 
Since one does not normally want this output, I propose that all messages are
written as verbose-level messages, except for debug which are written as
debug-level.",49
132,43582,"Comment 1","David Jackman","2007-10-09 16:12:07","Created <span class=""""><a href=""attachment.cgi?id=20948&amp;action=diff"" name=""attach_20948"" title=""Patch to implement this feature"">attachment 20948</a> <a href=""attachment.cgi?id=20948&amp;action=edit"" title=""Patch to implement this feature"">[details]</a></span>
Patch to implement this feature","Created attachment 20948 [details]
Patch to implement this feature",49
133,43582,"Comment 2","dev11","2007-10-10 03:48:49","Makes sense. I normally just run the targets on their own to see the output, but
of course, that doesn't work if things behave differently under antunit

An extension for this would be to log everything at info on a test
failure...this could be good for builds under cruise control and gump, as you
get better remote diagnostics","Makes sense. I normally just run the targets on their own to see the output, but
of course, that doesn't work if things behave differently under antunit

An extension for this would be to log everything at info on a test
failure...this could be good for builds under cruise control and gump, as you
get better remote diagnostics",49
134,43582,"Comment 3","David Jackman","2007-10-11 16:02:20","(In reply to <a href=""show_bug.cgi?id=43582#c2"">comment #2</a>)
<span class=""quote"">&gt; An extension for this would be to log everything at info on a test
&gt; failure...this could be good for builds under cruise control and gump, as you
&gt; get better remote diagnostics</span>

For this sort of thing, it would be better for the reports generated by the
plain and XML listener to include the log output as well.  I've written this up
as <a class=""bz_bug_link 
          bz_status_RESOLVED  bz_closed"" title=""RESOLVED FIXED - Plain and XML listeners should add log output from the tests to the test report"" href=""show_bug.cgi?id=43604"">bug 43604</a>.","(In reply to comment #2)
> An extension for this would be to log everything at info on a test
> failure...this could be good for builds under cruise control and gump, as you
> get better remote diagnostics

For this sort of thing, it would be better for the reports generated by the
plain and XML listener to include the log output as well.  I've written this up
as bug 43604.",49
